,Consumer_Comments
266,"Good afternoon, We hope this message finds you well. We are reaching out from the Customer Relations Team here at Capital Area Food Bank. We are contacting you to inform you that you have exceeded your produce limit by 770lbs. At this time, no action is needed and no removals are required; this message is simply to notify you of the overage. Thank you, Customer Relations"
267,"qm: (45 kB) Good afternoon, Thank you for contacting customer support. Credit 8252 has been created and applied to your most recent invoice for this item. The credit issued is for $48.66."
268,"Hi Columbia Baptist Church Food Pantry, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. For concerns relating to donations from partners like Safeway, please reach out to our Partner Direct team at"
269,"Hi Columbia Baptist Church Food Pantry, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon and thank you for contacting customer support. Our Head of Food Procurement has informed me that they are still working with our warehouse team and distributors to arrange for inventory to arrive at our new warehouse location. I will be able to provide you with more accurate information by Friday CiArra Good afternoon, I wanted to inform you that 32oz milk and veg oil were requested for transfer from DC for early next week. Also most of the other items have an eta of 8/30 or sooner CiArra"
270,"Spoke with partner and advised clear cache, using another devise after I logged into the account and did not experience those issues CiArra"
271,"Good morning, Thank you for contacting customer support. We have updated the access to your account. Please look out for a confirmation email with your new temporary password and instructions on how to update your information when you log-in. Also, the new address has been approved for deliveries, please make sure to not park cars in the middle of the aisle in your parking lot as this may pose issues for our drivers."
272,"(630 kB) Hi Thomas, I will forward this to the Maryland Team as this partner requires a site visit to add a new address. Thank you, ""D"""
273,"Good afternoon, We have updated your payment method on this order to an invoice. You should be able to edit your order now."
274,"Good afternoon, Thank you for contacting customer support. Is there any way you could receive you order on the following dates instead? Thursday, 2/19/2025, from 12pm-2pm Friday. 2/20/2025, from 12pm-2pm Please let me know if either of these slots work for you. Best, , we can do it on Thursday the 19. close"
275,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting Customer Support. Attached is a copy of your invoice for this order. You can access this invoice for payment on PartnerLink, in the Account Overview section under the Invoices tab."
276,Good afternoon and thank you for contacting customer support. I have updated your order as requested for 2/6 8am-10am CiArra
277,"Good afternoon, Thank you for contacting Customer Service. Please log out of PartnerLink and try to proceed with checking out with your order again please. Does this error keep happening? ""D"" I logged out once and got back in and tried again and it happened again. I will attempt it again and let you know. Thanks, Jeff]}],""attrs"":} just tried signing out and back in and I got the same message, an internal error has occurred. Thanks, Jeff]}],""attrs"":} Good afternoon, I am not sure what this error message means. I have put in an IT Support Ticket for this issue and also empha Good afternoon, I am not sure what this error message means. I have put in an IT Support Ticket for this issue and also emphasized that this is a time sensitive issue as it's an order that is supposed to go out on Thursday. As soon as I get a response, I will let you know. ""D"" While they are working, can you please try clearing the cache for your browser? This sometimes alleviates issues. that it didn't work.....]}],""attrs"":} Our IT Department got back to us and let us know that the issue is the size of the order. The order contains more than the maximum lines in our system. If you could, can you please create two orders, and pick two different days- just so that the items are secured and let me know the sales numbers so we can internally change them and combine them? We aren t able to do it on our end because we don t have your credit card information many lines do I need to remove and put on the second order? Will the second order need to meet the 1000 lb minimum? Thanks Jeff On Oct 2, 2023, at PM, DH wrote: - - - Reply above this line. DH commented: Our IT Department got back to us and let us know that the issue is the size of the order. The order contains more than the maximum lines in our system. If you could, can you please create two orders, and pick two different days- just so that the items are secured and let me know the sales numbers so we can internally change them and combine them? We aren t able to do it on our end because we don t have your credit card information }],""attrs"":} I grabbed a time slot for Thursday the 12th because that is their preferred delivery day and I looked ahead and there was only one left. Just put 2 items in the cart to secure the time.]}],""attrs"":} Good morning Jeff, I do apologize for all this back and forth that we have had a to do to solve for these issues. I spoke to our IT Department this morning and wanted to relay some of the information that we discussed. First, the reason that you are unable to invoice your orders is because your agency has a balance over 90 days which means that your invoicing capabilities have been removed. Your agency s balance is $2,254.84. Until this amount is paid off, we will not be able to invoice any of your orders. Secondly, because we are unable to invoice your orders. We internally cannot place an order for you because we don't have access to your card information. I confirmed with our IT Team that the max number of items that PartnerLink will allow you to check out with is 21. The quantities do not play a factor into this, just the number of items themselves. If you are able to, please check out and place two orders to ensure you get all your items by place two orders that have 21 items. For reference, this is an issue that our IT Team is currently working on fixing so that we do not have to do this continuously. Please let me know if you have any questions. Again, I do apologize for the inconvenience. If you have questions about this, please feel free to give me a call at 571-390-9875 ""D"" I correct in assuming at this point we can't do this Thursday for a delivery date?]}],""attrs"":} This Thursday or Thursday the 12th? We can do the 12th but unfortunately, we would not have time to pull the order by this Thursday especially with its size in mind. I have placed two orders SO132593 for 10/12 and SO132595 for 10/13. Please put them together to deliver on the 12th. Please let me know this will happen. Thanks, Jeff]}],""attrs"":} Good afternoon! I ensured that both the orders dates were changed to the 12th, and also remove the delivery fee off of one of your orders, as they are just one order that needs one delivery fee. Please reach back out if you encounter any issues in the future. We do plan to have this issue resolved by the end of this week. ""D"" you for your help\! On Oct 4, 2023, at PM, DH wrote: - - - Reply above this line. DH commented: Good afternoon! I ensured that both the orders dates were changed to the 12th, and also remove the delivery fee off of one of your orders, as they are just one order that needs one delivery fee. Please reach back out if you encounter any issues in the future. We do plan to have this issue resolved by the end of this week. ""D"" ---- This request is now completed. ---- How would you rate the support you received today? |[ | Very poor |[ | |[ | |[ | |[ | good | [View request| [Turn off this request's notifications| This is shared with [ Sent on October 4, 2023 :27 PM EDT"
278,"Hi Janice C. Diggs, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Please reach out to the Partner Direct Team regarding a trianing for their department: Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH"
279,"Hi Janice C. Diggs, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support, we are sorry to hear you are having issues accessing today s training. It is important that you attend the training in full to get the most from the updates we have for this new feature. Please register for the next training on September 19th at 9am using this link: ["
280,All of your sales orders can be obtained online in your account. Please check under the orders or invoices tab.
281,"Good morning, Thank you for your ticket submitted to Customer Service. I have reviewed your order and spoken with our operations team. I can confirm that your order has been fulfilled, and you will be receiving your items. Attached is a list of the items fulfilled in your order. You will be receiving the following: # 30 520480 MD TEFAP CRANBERRIES DRIED # 12 520020 MD TEFAP ENT RICE US#2 LONG # 25 520030 MD TEFAP BON Salmon Pink # 12 520470 MD TEFAP BON ASPARAGUS # 86 520263 MD TEFAP ENT PEANUT BUTTER # 44 520053 MD TEFAP BON Apples Fresh # 15 362014 Eggs, 30 dozen I apologize for any confusion in the automated message. Best regards, ""D"""
282,"Good afternoon Partner, Thank you for your inquiry about Capacity Grants. We do indeed offer Capacity Grants at Capital Area Food Bank intended to help our partners expand their operations by providing fi cial assistance to cover the cost of items like storage or a vehicle. The Capacity Grant Application is embedded in our 2024 Fall Bi-Annual Survey, which will be released to partners in the second week of October. Please note that you will need to open and fill out the survey to access the Capacity Grant Application and then submit it. Once you submit your application, it will be reviewed by your Regional Team for consideration. Thank you, Customer Relations Please also reach out to your Regional Team Members to learn more about external grant opportunities that may be available for support."
283,"qm: Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning, Thank you for contacting customer support. Please forward any Meal Connect updates to"
284,Please provide your order number. number SO76583 thank you\! your request has been forwarded.
285,I made outreach with the partner.
286,"Good afternoon, Thank you for letting us know! I have gone ahead and corrected our attendance records. Thank you, ""D"" Good afternoon, I have corrected our attendance records to reflect this. Thank you, ""D"""
287,"Good afternoon, Thank you for contacting Customer Relations. Your order has been canceled. ""D"""
288,"qm: Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for calling me. The driver with your second order will be on his way after completing his Temple Hills delivery. I apologize for the mix-up. Thank you for your patience. ""D"" problem. Thank you again for your help on this! Carrie Clark | Director Family Life Community Center Crowder Owens Food Bank 202.529.2299 ext 229 | [www.flccdc.org| 605 Rhode Island Ave. NE | Washington, DC 20002 Changing lives by changing minds- through hope, wellness and innovation. Get SOCIAL with us @FLCCDC <[ From: DH Sent: Wednesday, June 05, 2024 PM To: Hood-Clark, Carrie Subject: PART1-6716 urgent- delivery scheduled for today - - - Reply above this line. DH commented: Good afternoon, Thank you for calling me. The driver with your second order will be on his way after completing his Temple Hills delivery. I apologize for the mix-up. Thank you for your patience. ""D"" ---- DH resolved this as Done. How was our service for this request? | [ | Very poor | [ | Poor | [ | Average | [ | Good | [ | Very good | [View request| [ Turn off this request's notifications| This is shared with [ Sent on June 5, 2024 :16 PM EDT"
289,"qm: Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning and thank you for contacting customer support. Could you please provide me the Sales Order # and the item code so that I can further investigate Thank you CiArra Good afternoon, Thank you for contacting us about this issue. Unfortunately, there is a limit to the number of cases available for this item, and we are unable to provide more than 15 cases. Some of our items have case limits, especially produce and protein. These limits are in place to ensure that the product is available in a fair manner so that our partners can take advantage of it. If you have any further questions, please feel free to ask. ""D"" Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Thank you, DH"
290,"Good morning, I hope all is well. Is your agency apart of the DC TEFAP program? ""D"" , Yes we are and we have been fir many years. ---- ,,,,,,,,,,]}],""attrs"":} Okay, let me reach out to your TEFAP coordinator to see what the issue may be. I will circle back with you. Thank you for your patience! sounds great. Thank you. ---- ,,,,,,,,,,]}],""attrs"":} Good morning, After looking closely at your agency account with us, it seems as though your agency was suspended in March of 2023. I do not have any additional information about this decision. Please contact Ineka who is the TEFAP Coordinator for your region for more information. Ineka Armstead (202) 594-8695 Thank you, ""D"" Sorry for the double messages! I was notified that its suspension had ended but your account was not updated accordingly. I have reached out to IT to have this updated. Please try logging in about an hour- you will then be able to see TEFAP items. Get Outlook for iOS< , Can you tell why organization was suspended? ---- ,,,,,,,,,,]}],""attrs"":} Good morning, I'm not aware of the initial suspension, unfortunately. You ll need to contact your TEFAP Coordinator for details on that. After you all were reinstated, your account was not updated. The IT team fixed the issue on your account, and you should be able to see all MD TEFAP items. ""D"" DH NOVA Customer Service Coordinator Capital Area Food Bank P. 571.390.9875 | F. 703.541.0179 9610 Gunston Cove Rd, Suite A Lorton, VA 22079 < < < Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly. Thank you! you for your help. ---- ,,,,,,,,,,]}],""attrs"":}"
291,"qm: Good afternoon, Thank you for contacting customer support. Can you please provide me with the Sales Order number for the delivery you would like an ETA for? qm:[ SO161241 | | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: CH Sent: Friday, May 24, 2024 PM To: Procurement Subject: PART1-6633 CAFB ETA? - - - Reply above this line. CH commented: Good afternoon, Thank you for contacting customer support. Can you please provide me with the Sales Order number for the delivery you would like an ETA for? [View request| [Turn off this request's notifications| This is shared with Jackie Wincek, and [ Sent on May 24, 2024 :33 PM EDT Hi Jackie, I have forwarded your request of an ETA to our transportation team and either myself or the driver will contact you directly with updates. , Any updates to ETA? Are you sure they are en route? As I mentioned by phone ~3pm, we need to distribute these items tomorrow so important the team has time to receive and sort it. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: CH Sent: Friday, May 24, 2024 PM To: Procurement Subject: PART1-6633 CAFB ETA? - - - Reply above this line. CH commented: Hi Jackie, I have forwarded your request of an ETA to our transportation team and either myself or the driver will contact you directly with updates. [View request| [Turn off this request's notifications| This is shared with Jackie Wincek, and [ Sent on May 24, 2024 :34 PM EDT , Any word back since we spoke by phone? Just letting you know our team leaves at pm. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: Jackie Wincek Sent: Friday, May 24, 2024 PM To: Cc: Materials Management Procurement Subject: RE: PART1-6633 CAFB ETA? Hello, Any updates to ETA? Are you sure they are en route? As I mentioned by phone ~3pm, we need to distribute these items tomorrow so important the team has time to receive and sort it. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: CH Sent: Friday, May 24, 2024 PM To: Procurement Subject: PART1-6633 CAFB ETA? - - - Reply above this line. CH commented: Hi Jackie, I have forwarded your request of an ETA to our transportation team and either myself or the driver will contact you directly with updates. [View request| [Turn off this request's notifications| This is shared with Jackie Wincek, and [ Sent on May 24, 2024 :34 PM EDT again, I ve tried to reach you by phone again. Please provide an update on if this order is coming. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: Jackie Wincek Sent: Friday, May 24, 2024 PM To: Cc: Materials Management Procurement Subject: RE: PART1-6633 CAFB ETA? Hello, Any word back since we spoke by phone? Just letting you know our team leaves at pm. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: Jackie Wincek Sent: Friday, May 24, 2024 PM To: Cc: Materials Management Procurement Subject: RE: PART1-6633 CAFB ETA? Hello, Any updates to ETA? Are you sure they are en route? As I mentioned by phone ~3pm, we need to distribute these items tomorrow so important the team has time to receive and sort it. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: CH Sent: Friday, May 24, 2024 PM To: Procurement Subject: PART1-6633 CAFB ETA? - - - Reply above this line. CH commented: Hi Jackie, I have forwarded your request of an ETA to our transportation team and either myself or the driver will contact you directly with updates. [View request| [Turn off this request's notifications| This is shared with Jackie Wincek, and [ Sent on May 24, 2024 :34 PM EDT , Thank you for the time and effort you put towards resolving this issue today. The food was found and will be distributed to families tomorrow. Enjoy your holiday weekend, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: Jackie Wincek Sent: Friday, May 24, 2024 PM To: Cc: Materials Management Procurement Subject: RE: PART1-6633 CAFB ETA? Importance: High Hello again, I ve tried to reach you by phone again. Please provide an update on if this order is coming. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: Jackie Wincek Sent: Friday, May 24, 2024 PM To: Cc: Materials Management Procurement Subject: RE: PART1-6633 CAFB ETA? Hello, Any word back since we spoke by phone? Just letting you know our team leaves at pm. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: Jackie Wincek Sent: Friday, May 24, 2024 PM To: Cc: Materials Management Procurement Subject: RE: PART1-6633 CAFB ETA? Hello, Any updates to ETA? Are you sure they are en route? As I mentioned by phone ~3pm, we need to distribute these items tomorrow so important the team has time to receive and sort it. Thank you, | | Jackie Wincek \\ Procurement and Sustainability Manager O. 202.400.2804 : C.630.247.5171 : [dccentralkitchen.org| | From: CH Sent: Friday, May 24, 2024 PM To: Procurement Subject: PART1-6633 CAFB ETA? - - - Reply above this line. CH commented: Hi Jackie, I have forwarded your request of an ETA to our transportation team and either myself or the driver will contact you directly with updates. [View request| [Turn off this request's notifications| This is shared with Jackie Wincek, and [ Sent on May 24, 2024 :34 PM EDT Thank you Jackie! Glad we were able to resolve this for you, I will make sure that gets this message when she returns to work on Tuesday. Thank you! The partner put in a ticket for an ETA and upon investigating, realized that the food had already been delivered to the site and had been moved to a different location by a staff member."
292,"!Outlook-A picture .png|thumbnail! Hi Laura Napoleon, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Hi Laura, This order does not have any shipping costs added. Please let me know if/where the partner still see s a charge on their end. This is what I saw earlier. ---- }],""attrs"":},]},, (41 kB) Hi Laura, Our records show the ERP took the charge off at today. Please refresh the order on your end and let us know if you still see the charge. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hi Laura, Just attaching the slides to our SMART Shopper Training if you want to check on our policies moving forward. This is what we share with our partners. I will be closing this ticket out. Please let me know if there s anything else I can do to help!"
293,"qm: Hi Jackie Wincek, s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting Customer Service. Your order was delivered at am this morning and signed by Dayontae Duncan. Thank you, ""D"""
294,"qm: Hi Jackie Wincek, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. While our grain menu may be limited, you can expect to see pancake mix added to the menu come 5/30 and Rice is on the way but I have yet to receive a date for that shipment due to manufacturer delays. Our Head of Food Procurement, Ronny Faragasso, is happy to connect and help you locate additional grains that may supplement what s available on our menu. He can be reached at (202) 644-9886 or via email at"
295,"qm: Hi Jackie Wincek, s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good morning Jackie, I hope you are doing well! I have gone ahead and canceled both these orders for you. Thank you! ""D"""
296,"qm: Hi Jackie Wincek, for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good morning Jackie, Thank you for contacting customer support. SO170908 is now cancelled."
297,"Good morning, We hope this email finds you well. We are writing to inform you that your current produce limit is 2,000lbs, and you are currently exceeding that limit by 2,380lbs. In order to align your order with your limit, we will need to remove some items from your current produce order. Below is the list of produce items in your order SO195653: 700757 Produce Pallet - 3 WAY - Cabbage, Carrot, Sweet Potatoes - Qty 2 800111 Apples, Local Cardboard Bin 700# AVG - Qty 1 Please respond to this email with your selections of which produce item you would like us to reduce. Kindly note that if we do not receive your response within 24 hours, our Customer Relations team will make adjustments to your order on your behalf. Thank you for your attention to this matter! Best regards, Customer Relations Can we remove the bin of apples 800111 Apples, Local Cardboard Bin 700# AVG - Qty 1 Copying in Zaynab, Zaynab on the phone yesterday you mentioned the cases of Apples, Pears and Oranges available. Online I do not see cases of Apples. And I cannot add cases of Pears or Oranges to the order because it says none are available for our date of 2/19 Delivery. We would like to add 8 cases of Oranges to the order if possible. Thanks Amy | | Amy Bachman \\ Director of Procurement and Sustainability O. 202-400-2806 [dccentralkitchen.org| | From: CH Sent: Wednesday, February 12, 2025 AM To: Procurement Subject: PART1-8538 Important: Action Required on Your Produce Order - - - Reply above this line. CH updated a comment: Good morning, We hope this email finds you well. We are writing to inform you that your current produce limit is 2,000lbs, and you are currently exceeding that limit by 2,380lbs. In order to align your order with your limit, we will need to remove some items from your current produce order. Below is the list of produce items in your order SO195653: 700757 Produce Pallet - 3 WAY - Cabbage, Carrot, Sweet Potatoes - Qty 2 800111 Apples, Local Cardboard Bin 700# AVG - Qty 1 Please respond to this email with your selections of which produce item you would like us to reduce. Kindly note that if we do not receive your response within 24 hours, our Customer Relations team will make adjustments to your order on your behalf. Thank you for your attention to this matter! Best regards, Customer Relations [View request| [ Turn off this request's notifications| This is shared with and CH. [ Sent on February 12, 2025 :20 AM EST Good morning, I have removed 1 of item 800111 Apples, Local Cardboard Bin 700# AVG from your order."
298,"Good afternoon and thank you for contacting customer support. Produce items are typically delivered to CAFB on Monday-Wednesdays from 7am-2pm please check during those times. Also, you may submit a ticket to partner support requesting us to add produce if/when they are available and we will keep that request open throughout the day and add when possible. I will keep this ticket open until the end of the day. I will add produce/if/when they become available. Please submit a new email/ticket if you want us to check our inventory on another day. CiArra Please advise your Sales Order # for your upcoming order CiArra I am closing this ticket due to inactivity. Please submit a new ticket if you are still needing assistance CiArra"
299,"Good afternoon, Thank you for contacting customer support. At the moment, there is no way to merge orders and we do not advise partners to merge orders. Please be sure to edit your open orders so that way you can add more products to your one appointment. At this time, both orders are locked and unable to be edited. Please be sure to pick them up as scheduled."
300,"Good morning, Thank you for contacting customer support. If you are having any issues editing your order please contact customer support as soon as possible and we are happy to make the changes for you as we do not recommend creating multiple orders and please keep in mind that all orders lock 3 business days before your scheduled pick-up or delivery date. Both SO186448 and SO186453 are locked for edits. I will look into what we can do to combine your orders for 11/27 and if possible to add the order for 12/02. would be great, thank you! Good morning, I hope this message finds you well! I wanted to reach out regarding your request. I have combined everything for your order tomorrow into SO185606. Going forward, please contact us by phone or email before creating multiple orders. The reason we do not combine orders is that, systematically, it can cause issues. It makes it difficult to manage produce on orders and can lead to losing items due to backorders. Additionally, please be aware that with the new produce limits we are introducing, partners will need to wait 30 minutes after placing an order to edit it. Moreover, there will be another 30-minute waiting period after making any edits before further changes can be made. We appreciate your patience as we navigate this change. Thank you! Best, ""D"""
301,Duplicate request-- order updated.
302,"Hi for assistance. We will reply as soon as possible. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. Unfortunately, you have reported these missing items past the deadline. For reporting missing items on an order, partners must contact Customer Support no later than: 24 hours for perishables 72 hours for shelf stable goods Please follow these deadlines in the future so we can locate any missing items within an appropriate time frame. I will look into this with our Operations team to see if we can still locate the item and follow up with any updates. Good morning, We have located the items missing from your order. Would you prefer a refund of this item or would you like for us to redeliver it. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Hello, We recently sent an update to your request, and we are waiting on your reply. You can review and reply to our update in our most recent email, or login to the CAFB Support Portal to read our latest reply and leave your comment. We will then respond as soon as possible. Good morning, We have located the items missing from your order. Would you prefer a refund of this item or would you like for us to redeliver it. qm:<\!-->96 Good morning. I want it to be delivered. Thank you so much. God bless. Pastor{""type"":""expand"",""content"":>96 Next Friday? Yes please let the driver call me. Thanks{""type"":""expand"",""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Sent from Yahoo Mail for iPhone"",""marks"":[{""type"":""link"",""attrs"":{""href"":"" Good morning, I am following up from our phone call this morning to confirm our re-delivery for this Friday, 6/21. is fine Ms Hilliman. God bless Subject: Issue with Deer Meat Order Good afternoon, I hope this message finds you well. I'm reaching out to address the deer meat that you ordered a few weeks ago. One of my team members informed me about the issue, and we've been in touch with our Operations Department. They initially located the meat in the warehouse, but upon further attempts, they couldn't find it, as we are preparing for inventory. We apologize for the inconvenience and any confusion caused by the back and forth communication. I've processed a courtesy credit of $15.20 for the total amount of the cases. Once approved by our Fi ce Department, this credit will be applied to Invoice 161606. Please feel free to reach out if you have any questions or concerns. Thank you, ""D"""
303,"Good afternoon, Thank you for contacting customer support. Unfortunately, the items you are looking for are not available. Please let me know if there is anything we can do to edit this order. qm:<\!-->96 Good morning. Please l tried to add products to my account and it is not letting me. It says to report to you. Please l am getting frustrated concerning this problem. I can t depend on you people to add it for me before you, everything will finish. The time now is . No one is in the office to add anything. Please do something about this. 100826 Havest snap baked snack, full pallet. 362023 catfish nuggets 6, 100818 Sweet and salty kettle. Full pallet, 100816 Hunts pittige diced tomatoes 30, 822676 apple bin, 362014 eggs 5, 100830 ghost hydration drinks full pallet. S0182946. Divine grace mission. On Wednesday, November 6, 2024, PM, Dorothy Nwaneri wrote: <\!-->96 100832, 100835, 100819, 100817, 100818, 100816, 362023, 362014, 100826, S0182946. Divine Grace Mission. 4208 Glenn Dale road. Bowie md 20720. Please l need my products. . Time 10am. Dorothy Nwaneri. 240-460-0842. Expect 5 eggs, 30 tomatoes, all of them are pallets. Thanks. >96 This is what I originally sent. Begin forwarded message: On Wednesday, November 6, 2024, PM, Dorothy Nwaneri wrote: <\!-->96 100832, 100835, 100819, 100817, 100818, 100816, 362023, 362014, 100826, S0182946. Divine Grace Mission. 4208 Glenn Dale road. Bowie md 20720. Please l need my products. . Time 10am. Dorothy Nwaneri. 240-460-0842. Expect 5 eggs, 30 tomatoes, all of them are pallets. Thanks. [Sent from Yahoo Mail for iPhone| {""type"":""expand"",""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Sent from Yahoo Mail for iPhone"",""marks"":[{""type"":""link"",""attrs"":{""href"":"""
304,"Hi s Customer Relations Department! between Memorial Day and Labor Day are Monday through Thursday, 8 a.m. to 5 p.m and Friday 8am to 3 p.m. We will respond to your request in a timely manner during business hours. You can expect a response by 10 a.m. the next business day for requests sent outside of business hours. Thank you, Customer Relations Capital Area Food Bank Good afternoon, Thank you for contacting customer support. We have updated your order."
